Brand;Standing screen display size;Processor Brand;Processor Speed;RAM Size;Hard Drive Size;Hard Disk Description;Graphics Chipset Brand;Operating System;Item Weight;Price
Apple;13.3;Intel;2.3;8;128;SSD;Intel;macOS;1.37;5827.6515
Apple;13.3;Intel;1.8;8;128;FlashStorage;Intel;macOS;1.34;3910.389
HP;15.6;Intel;2.5;8;256;SSD;Intel;NoOS;1.86;2501.25
Apple;15.4;Intel;2.7;16;512;SSD;AMD;macOS;1.83;11037.9075
Apple;13.3;Intel;3.1;8;256;SSD;Intel;macOS;1.37;7845.66
Acer;15.6;AMD;3;4;500;HDD;AMD;Windows10;2.1;1740
Apple;15.4;Intel;2.2;16;256;FlashStorage;Intel;MacOSX;2.04;9308.8695
Apple;13.3;Intel;1.8;8;256;FlashStorage;Intel;macOS;1.34;5040.345
Asus;14;Intel;1.8;16;512;SSD;Nvidia;Windows10;1.3;6503.25
Acer;14;Intel;1.6;8;256;SSD;Intel;Windows10;1.6;3349.5
HP;15.6;Intel;2.5;4;500;HDD;Intel;NoOS;1.86;1713.465
HP;15.6;Intel;2;4;500;HDD;Intel;NoOS;1.86;1500.7065
Apple;15.4;Intel;2.8;16;256;SSD;AMD;macOS;1.83;10613.8695
Dell;15.6;Intel;2;4;256;SSD;AMD;Windows10;2.2;2170.215
Apple;12;Intel;1.2;8;256;SSD;Intel;macOS;0.92;5491.44
Apple;13.3;Intel;2.3;8;256;SSD;Intel;macOS;1.37;6605.6925
Dell;15.6;Intel;2.7;8;256;SSD;AMD;Windows10;2.2;3240.75
Apple;15.4;Intel;2.9;16;512;SSD;AMD;macOS;1.83;12432.3
Lenovo;15.6;Intel;2.4;8;1000;HDD;Nvidia;NoOS;2.2;2170.65
Dell;13.3;Intel;1.6;8;128;SSD;Intel;Windows10;1.22;4258.65
Asus;11.6;Intel;1.44;2;32;FlashStorage;Intel;Windows10;0.98;834.765
Lenovo;15.6;Intel;2.5;8;128;SSD;Nvidia;Windows10;2.5;4345.65
HP;15.6;AMD;1.5;4;500;HDD;AMD;NoOS;1.86;1122.3
Dell;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.62;3562.65
HP;15.6;Intel;1.8;8;256;SSD;Intel;Windows10;1.91;2866.65
Dell;15.6;Intel;2;4;1000;HDD;Intel;Windows10;2.3;1821.084
Apple;13.3;Intel;1.6;8;128;FlashStorage;Intel;MacOSX;1.35;4780.65
Dell;15.6;Intel;1.6;8;256;SSD;AMD;Windows10;2.2;3480
Dell;15.6;Intel;1.9;8;256;SSD;Intel;Windows10;1.88;5646.3
HP;17.3;Intel;1.6;8;1000;HDD;Nvidia;Windows10;2.5;3897.6
Chuwi;15.6;Intel;1.44;4;64;FlashStorage;Intel;Windows10;1.89;1065.7065
Asus;14;AMD;1.5;2;32;FlashStorage;AMD;Windows10;1.65;865.65
HP;17.3;AMD;2.5;4;500;HDD;AMD;Windows10;2.71;1909.65
Dell;13.3;Intel;1.8;16;512;SSD;Intel;Windows10;1.2;8130.15
Apple;13.3;Intel;1.6;8;256;FlashStorage;Intel;MacOSX;1.35;4341.3
Lenovo;14;Intel;1.1;4;64;FlashStorage;Intel;Windows10;1.44;1083.15
Acer;15.6;Intel;2.7;4;1000;HDD;Intel;Linux;2.1;1596.45
Dell;17.3;Intel;1.6;8;128;SSD;AMD;Windows10;2.8;4258.65
HP;15.6;Intel;2.5;4;1000;HDD;Intel;Windows10;1.86;2125.8015
HP;15.6;Intel;1.6;8;256;SSD;Nvidia;Windows10;2.1;3823.65
Asus;15.6;Intel;2;4;1000;HDD;Intel;Linux;2;1692.15
Dell;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.65;6520.65
Asus;15.6;Intel;2.5;8;1000;HDD;Nvidia;Linux;2.3;2275.0065
Acer;15.6;Intel;1.6;4;256;SSD;Intel;Windows10;2.2;2966.7
Dell;17.3;Intel;1.6;12;1000;HDD;Nvidia;Windows10;2.77;4345.65
Apple;13.3;Intel;2;8;256;SSD;Intel;macOS;1.37;6172.65
Lenovo;15.6;Intel;2;4;128;SSD;Intel;NoOS;2.2;1605.15
Asus;17.3;AMD;3;8;256;SSD;AMD;Windows10;3.2;5650.65
Dell;15.6;Intel;2.5;4;256;SSD;AMD;Windows10;2.3;2779.65
Asus;17.3;Intel;1.1;4;1000;HDD;Nvidia;Windows10;2.8;2027.1
Lenovo;10.1;Intel;1.44;4;64;FlashStorage;Intel;Android;0.69;1387.65
Acer;15.6;Intel;1.8;8;256;SSD;Nvidia;Windows10;2.2;3658.35
HP;15.6;AMD;2.5;4;256;SSD;AMD;Windows10;1.86;1733.4315
HP;13.3;Intel;1.8;8;512;SSD;Intel;Windows10;1.49;4798.05
Acer;15.6;Intel;2.4;4;1000;HDD;Intel;Windows10;2.4;1670.4
Dell;15.6;Intel;1.8;8;256;SSD;AMD;Windows10;2.13;3339.93
HP;15.6;Intel;2;4;128;SSD;Intel;Windows10;1.91;1909.65
Asus;15.6;Intel;2.5;4;256;SSD;Intel;Windows10;2;2549.9265
MSI;17.3;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.43;10653.15
Asus;15.6;Intel;2;4;256;SSD;Intel;Linux;2;1805.25
Dell;17.3;Intel;1.8;16;256;SSD;AMD;Windows10;2.8;5650.65
Dell;14;Intel;1.6;8;256;SSD;Intel;Windows10;1.7;3823.65
Lenovo;14;Intel;2.7;8;256;SSD;Intel;NoOS;1.7;2605.65
Asus;14;Intel;1.6;8;256;SSD;Intel;Windows10;1.4;4093.35
HP;15.6;Intel;2.5;8;256;SSD;Intel;Windows10;1.86;3001.5
Asus;15.6;Intel;2.8;16;512;SSD;Nvidia;Windows10;1.8;8626.05
HP;15.6;Intel;2;4;500;HDD;AMD;Windows10;1.86;1908.3015
HP;14;Intel;1.6;4;32;SSD;Intel;Windows10;1.44;996.15
Lenovo;15.6;Intel;2.5;4;1000;HDD;Intel;Windows10;1.9;2388.15
Asus;17.3;Intel;2.8;12;1000;HDD;Nvidia;Linux;3;4128.15
Microsoft;13.5;Intel;2.5;4;128;SSD;Intel;Windows10S;1.252;4737.15
Dell;13.3;Intel;1.8;8;256;SSD;AMD;Windows10;1.4;4154.25
Dell;15.6;Intel;1.8;8;256;SSD;AMD;Windows10;2.2;3784.5
MSI;17.3;Intel;2.5;8;128;SSD;Nvidia;Windows10;2.7;4763.25
Acer;14;Intel;2;8;1000;HDD;Intel;Windows10;2.1;1692.15
Asus;15.6;Intel;2.8;8;1000;HDD;Nvidia;Windows10;2.2;4128.15
Lenovo;15.6;Intel;2.5;8;2000;HDD;Intel;NoOS;2.2;2257.65
Dell;15.6;Intel;1.8;8;128;SSD;Intel;Windows10;2.02;3719.25
Acer;15.6;Intel;2.7;4;1000;HDD;Nvidia;Windows10;2.2;2305.5
HP;17.3;Intel;1.6;8;128;SSD;Nvidia;Windows10;2.5;4249.95
Dell;15.6;Intel;1.6;8;256;SSD;Intel;Windows10;1.88;4768.296
Apple;12;Intel;1.3;8;512;SSD;Intel;macOS;0.92;6568.5
HP;14;Intel;1.6;8;256;SSD;Intel;Windows10;1.63;3741
Lenovo;15.6;AMD;2.5;4;128;SSD;AMD;Windows10;2.2;1735.65
Acer;15.6;AMD;3;4;1000;HDD;AMD;Windows10;2.1;1718.25
Dell;15.6;Intel;2.8;16;128;SSD;Nvidia;Windows10;2.65;5868.15
HP;15.6;Intel;1.8;8;256;SSD;Nvidia;Windows10;1.83;3040.65
HP;15.6;Intel;2.5;8;256;SSD;Intel;Windows10;1.96;2605.6065
Asus;15.6;Intel;2.8;16;128;SSD;Nvidia;Windows10;2.2;6303.15
Dell;13.3;Intel;1.8;8;256;SSD;Intel;Windows10;1.21;7173.15
Asus;15.6;AMD;3;8;1000;HDD;AMD;Windows10;2.45;3040.65
Acer;15.6;Intel;1.8;8;1000;HDD;Nvidia;Windows10;2.2;2997.15
HP;13.3;Intel;1.8;16;512;SSD;Intel;Windows10;1.49;5206.95
Dell;15.6;Intel;2.5;8;256;SSD;Nvidia;Windows10;2.65;5198.25
Asus;14;Intel;2.7;8;256;SSD;Intel;Windows10;1.25;4563.15
Acer;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.5;3684.45
Dell;15.6;Intel;2.7;8;1000;HDD;AMD;Linux;2.2;2609.565
Dell;15.6;Intel;2;4;256;SSD;AMD;Linux;2.2;2109.75
Asus;15.6;Intel;2.4;6;256;SSD;Nvidia;Windows10;2;2509.95
HP;15.6;Intel;2.8;12;128;SSD;Nvidia;Windows10;2.62;5433.15
HP;15.6;Intel;2.7;8;256;SSD;AMD;Windows10;1.91;3127.65
HP;15.6;AMD;1.5;4;500;HDD;AMD;Windows10;2.1;1518.15
Dell;15.6;Intel;1.6;8;1000;HDD;AMD;Linux;2.2;2814.45
HP;13.3;Intel;2.7;8;256;SSD;Nvidia;Windows10;1.38;4867.65
Microsoft;13.5;Intel;2.5;8;256;SSD;Intel;Windows10S;1.252;5829
HP;14;Intel;2.5;6;256;SSD;Nvidia;Windows10;1.58;2866.65
Lenovo;15.6;Intel;2;4;1000;HDD;Intel;Windows10;1.85;1804.815
Asus;14;Intel;2.7;8;256;SSD;Nvidia;Windows10;1.3;5189.55
MSI;15.6;Intel;2.8;16;256;SSD;Nvidia;Windows10;2.2;5650.65
Lenovo;14;Intel;2.7;8;256;SSD;Intel;Windows10;1.58;6438
Asus;15.6;Intel;1.8;16;256;SSD;Nvidia;Windows10;1.5;5489.7
Dell;13.3;Intel;2.4;8;256;SSD;Intel;Windows10;1.23;5998.65
Lenovo;13.3;Intel;2.5;8;256;SSD;Intel;Windows10;1.37;6085.65
HP;14;Intel;1.6;4;500;HDD;Intel;Windows10;1.63;3140.7
Dell;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.21;7086.15
HP;13.3;Intel;1.6;8;256;SSD;Intel;Windows10;1.26;6085.6065
HP;14;Intel;1.8;8;512;SSD;Intel;Windows10;1.63;4715.4
